Wallet,Pattern ID,Role,Date Decouverte,Score Initial,Score Qualify,Statut,Date Debut Surveillance,Jours Suivis,Nb Trades,PnL (SOL),PnL (USD),Win Rate (%),Lien Tracker,Date Decision,Notes
FugGcc6e9bzLv7zuhMV8iPVfnB8jaN3f1XYgTmDy73rq,,createur,2026-08-05,100,reject,Ecarte,2026-08-05,0,,,,,,2026-08-05,"Funded by: DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR (1.6804 SOL). multi-token meme adresse (2), sample n=2 coverage 411h, winrate 0%"
GvE6nrjz6Ya9aZvgpU4D5HteWFHpDfKP6k3eCArwBjP7,,createur,2026-08-05,100,reject,Ecarte,2026-08-05,0,,,,,,2026-08-05,"Funded by: 8mowmVCEewZ9W2cEaQyQeQEeSxhGr1hvRviLwozwNtBt (1.7274 SOL). multi-token meme adresse (4), sample thin n=4 coverage 0.1h, winrate 0%"
A5pSZ8yct8gpebwgnMH1zLHgj6yNzuQCst4J4eMGb1cW,P-001,createur,2026-08-05,100,reject,Ecarte,2026-08-05,0,,,,,,2026-08-05,"funded by exchange (Coinbase), sample n=1 coverage 91h, winrate 0%, net expected gain 0%"
8JLEWDyq4zZhLC5wQFR7yFkHEBgoZVm1XGYwEDeLbdby,,createur,2026-08-05,100,reject,Ecarte,2026-08-05,0,,,,,,2026-08-05,"Funded by: EBx24uAPtaS1SvHwRhKEktSgzaXdiVEyHuSVpAMVwrcD (25 SOL, mother). multi-token meme adresse (12), sample thin n=12 coverage 21.3h, winrate 0%, net gain -6.6%"
BLnA72XN7Jvt5oPZXXnpXYQzwsuqYJ2x511nZ24wRfr3,,createur,2026-08-05,100,reject,Ecarte,2026-08-05,0,,,,,,2026-08-05,"Funded by: 4W1pr6BxfwdEtknst3tYd7EeQWkbJepahdAQwffrJbgr (8 SOL, mother). multi-token meme adresse (2), sample thin n=2 coverage 0.1h, winrate 0%"
96w1xzbRQgBEeTa3CEwRJNSQuXRfTwKNXYo4hyKybSxQ,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
EudD7JQXkizu372JhTXXDdsTsLAtz884YxbzXAwBUunV,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 7 tokens seul (dev_tokens=7) -- jamais un pattern CEX valide, meme score eleve"
DrQvUgr53bQ1TLhRady1u7SEUxgHgEvBpHms78DHhG9f,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 6 tokens seul (dev_tokens=6) -- jamais un pattern CEX valide, meme score eleve"
AKCu9ZjLmMHiStPWYyxqVaJpQs9JcEiaTNaCqZhVgdeB,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 2 tokens seul (dev_tokens=2) -- jamais un pattern CEX valide, meme score eleve"
DrZhh8Uz9ahWYEXyv1zWNgemN3BRAi42aSZVV2vsKsVy,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 5 tokens seul (dev_tokens=5) -- jamais un pattern CEX valide, meme score eleve"
